"ID","Area","Feature","Actor","User story","Expected behavior","Primary surfaces","Evidence source","Automation coverage","Test status","Last test evidence","Error / UX issue","Fix status","Retest status","Notes"
"AUTH-001","Authentication","CSRF token","Visitor","As a visitor I need a CSRF token before state-changing auth requests so that browser requests are protected.","GET /api/auth/csrf returns a CSRF token and mutating requests can use it successfully.","API","backend/src/routes/auth.ts; frontend/src/api/client.ts","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"AUTH-002","Authentication","Registration challenge","Visitor","As a visitor I need registration bot checks so automated registrations are slowed down.","GET /api/auth/register/challenge returns a token with minimum fill time and expiry; register rejects missing or invalid challenge.","API, Login page","backend/src/routes/auth.ts; backend/src/utils/registrationChallenge.ts; frontend/src/pages/LoginPage.tsx","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"AUTH-003","Authentication","Cloudflare Turnstile registration check","Visitor","As a visitor I must pass Turnstile when enabled before creating an account.","Registration validates the Turnstile token against Cloudflare when enabled and accepts disabled mode from env.","API, Login page","backend/src/services/turnstileService.ts; frontend/src/pages/LoginPage.tsx","backend tests + frontend/manual config review","Passed automated current loop","2026-06-22: full backend Jest passed: 24 suites / 89 tests including turnstile-service.test.ts 5 tests. README/.env.example document VITE_TURNSTILE_SITE_KEY matching TURNSTILE_SITE_KEY.","Turnstile Vite site key relationship was previously under-documented for operators.","Fixed docs/env example; backend verifier covered for disabled, missing token, missing secret, Cloudflare success/failure and network error.","Passed automated retest","Live Cloudflare widget delivery still depends on valid production site/secret keys."
"AUTH-004","Authentication","Registration policy open mode","Visitor","As a visitor I can register when admin allows open registration.","A valid email and password create a user, mark invite if supplied, and issue a session cookie.","API, Login page","backend/src/routes/auth.ts; backend/src/services/registrationPolicyService.ts","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"AUTH-005","Authentication","Registration disabled mode","Visitor","As a visitor I cannot register when registration is disabled.","Registration returns 403 and does not create a user when global setting disables registration.","API, Admin settings","backend/src/routes/auth.ts; backend/src/routes/admin.ts","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"AUTH-006","Authentication","Domain allowlist registration","Visitor","As a visitor I can register only from allowed email domains when allowlist mode is enabled.","Registration accepts allowed domains and rejects non-allowed domains.","API, Admin settings","backend/src/services/registrationPolicyService.ts","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"AUTH-007","Authentication","Invite-only registration","Visitor","As a visitor I can register with a valid invite when invite-only mode is enabled.","Valid unused invite allows registration, marks invite used, and expired/used/missing invites are rejected.","API, Admin invites, Login page","backend/src/routes/auth.ts; backend/src/routes/admin.ts; frontend/src/pages/AdminPage.tsx","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"AUTH-008","Authentication","Email and password login","User","As a user I can log in with email and password.","Valid credentials issue session cookie unless 2FA is required; invalid credentials are rejected and rate limited.","API, Login page","backend/src/routes/auth.ts; frontend/src/pages/LoginPage.tsx","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"AUTH-009","Authentication","Telegram 2FA login","User","As a user with Telegram 2FA I must enter the Telegram code after password login.","Password login returns requires2fa, sends Telegram code, verify endpoint accepts the code and issues a session.","API, Login page, Telegram bot","backend/src/routes/auth.ts; bot/bot.py","manual/partial","Manual pending","","","","",""
"AUTH-010","Authentication","TOTP 2FA login","User","As a user with app TOTP enabled I must enter the authenticator code after password login.","Password login returns TOTP requirement and verify endpoint accepts valid TOTP within the configured window.","API, Login page","backend/src/routes/auth.ts; backend/src/services/totpService.ts","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"AUTH-011","Authentication","Recovery-code login","User","As a user who lost 2FA I can log in with a valid recovery code.","Recovery code login verifies email/password/code, consumes or rotates code according to service behavior, and issues a session.","API, Login page","backend/src/routes/auth.ts; backend/src/services/recoveryCodeService.ts","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"AUTH-012","Authentication","Telegram OAuth login","User","As a user I can start Telegram login from the web and complete it in the bot.","Start endpoint returns deep link/manual command; bot approves; poll endpoint returns user and session to web client.","API, Login page, Telegram bot","backend/src/routes/auth.ts; bot/bot.py; frontend/src/pages/LoginPage.tsx","manual/partial","Manual pending","","","","","Needs browser plus Telegram."
"AUTH-013","Authentication","Passkey registration","User","As a logged-in user I can register a passkey for future login.","WebAuthn register options and verify store the credential and mark passkeys available.","API, Settings page","backend/src/routes/auth.ts; backend/src/services/passkeyService.ts; frontend/src/pages/SettingsPage.tsx","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"AUTH-014","Authentication","Passkey login","User","As a user I can log in with a registered passkey.","WebAuthn login options and verify authenticate the credential and issue a session.","API, Login page","backend/src/routes/auth.ts; frontend/src/pages/LoginPage.tsx","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"AUTH-015","Authentication","Logout","User","As a logged-in user I can log out.","Logout clears session and sensitive-action cookies; protected routes require login again.","API, App layout","backend/src/routes/auth.ts; frontend/src/layouts/AppLayout.tsx","backend tests/manual","Passed automated current loop","2026-06-22: backend user-facing-routes suite added and passed; full backend lint/build/Jest passed: 20 suites / 62 tests. Logout route clears sg_token cookie with CSRF-protected POST.","","No code fix required","Passed automated retest",""
"AUTH-016","Authentication","Sensitive re-authentication","User","As a user I must confirm my password before sensitive actions.","POST /api/auth/reauth sets a short-lived sensitive cookie; protected sensitive endpoints reject missing/expired cookie.","API, Sensitive modal","backend/src/routes/auth.ts; backend/src/utils/sensitiveAuth.ts; frontend/src/components/security/SensitiveActionModal.tsx","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"ACCT-001","Steam accounts","Account list","User","As a user I can see all my Steam accounts with alias, account name, SteamID, source, folder, tags and recovery status.","GET /api/accounts returns only accounts owned by the user, ordered newest first with organization metadata.","API, Accounts page, Dashboard","backend/src/routes/accounts.ts; frontend/src/pages/AccountsPage.tsx; frontend/src/pages/DashboardPage.tsx","backend tests/manual","Passed automated current loop","2026-06-22: backend account-api-routes suite added and passed; full backend lint/build/Jest passed: 21 suites / 67 tests; backend production audit high passed: 0 vulnerabilities. GET /api/accounts returns only current-user account rows with folder/tag/recovery metadata.","","No code fix required","Passed automated retest",""
"ACCT-002","Steam accounts","Live Steam Guard codes","User","As a user I can see current Steam Guard codes updating with countdown.","GET /api/accounts/live-codes returns generated codes for owned accounts and validForSec; UI refreshes at code boundary.","API, Accounts page","backend/src/routes/accounts.ts; frontend/src/pages/AccountsPage.tsx","backend tests/manual","Passed automated current loop","2026-06-22: backend account-api-routes suite added and passed; full backend lint/build/Jest passed: 21 suites / 67 tests; backend production audit high passed: 0 vulnerabilities. GET /api/accounts/live-codes decrypts owned maFiles and returns 5-character Steam Guard codes plus validForSec.","","No code fix required","Passed automated retest",""
"ACCT-003","Steam accounts","Account detail","User","As a user I can open an account detail page.","Detail endpoint returns account fields, organization data and recovery flag for an owned account only.","API, Account detail page","backend/src/routes/accounts.ts; frontend/src/pages/AccountDetailPage.tsx","backend tests/manual","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"ACCT-004","Steam accounts","Import SDA maFile","User","As a user I can import an SDA maFile.","Multipart import parses JSON maFile, requires shared_secret and identity_secret, extracts session if present, encrypts MA data per user, stores account/session and logs ma_import.","API, Accounts page","backend/src/routes/accounts.ts; backend/src/utils/mafile.ts; frontend/src/pages/AccountsPage.tsx","backend tests/manual","Passed automated current loop","2026-06-22: backend account-api-routes suite added and passed; full backend lint/build/Jest passed: 21 suites / 67 tests; backend production audit high passed: 0 vulnerabilities. POST /api/accounts/import accepts JSON maFile payload, encrypts account data, stores extracted session and logs import.","","No code fix required","Passed automated retest",""
"ACCT-005","Steam accounts","Import plain JSON maFile format compatibility","User","As a user I can import maFiles exported by SDA using common field names.","Parser accepts Revocation_code, Session.AccessToken, Session.RefreshToken, Session.SteamID and normalizes SteamID from JWT/cookie when possible.","API","backend/src/utils/mafile.ts","backend tests/manual","Passed automated current loop","2026-06-22: backend account-api-routes suite added and passed; full backend lint/build/Jest passed: 21 suites / 67 tests; backend production audit high passed: 0 vulnerabilities. maFile parser path accepts common SDA fields including Revocation_code and Session.AccessToken/SteamID.","","No code fix required","Passed automated retest",""
"ACCT-006","Steam accounts","Enroll account by Steam credentials","User","As a user I can add a Steam account without maFile by logging in and enrolling mobile authenticator.","Start handles Steam credentials/guard challenge; finish accepts activation code, creates encrypted maFile, source credentials and recovery code.","API, Accounts page","backend/src/routes/accounts.ts; backend/src/services/steamEnrollmentService.ts; frontend/src/pages/AccountsPage.tsx","manual/partial","Manual pending","","","","","Live Steam dependency."
"ACCT-007","Steam accounts","Account update","User","As a user I can rename an account and configure auto-confirm settings.","PATCH /api/accounts/:id updates alias, separate trade/login auto-confirm toggles and delay for owned account.","API, Accounts page, Account detail page","backend/src/routes/accounts.ts; frontend/src/pages/AccountDetailPage.tsx","backend tests/manual","Passed automated current loop","2026-06-22: backend account-api-routes suite added and passed; full backend lint/build/Jest passed: 21 suites / 67 tests; backend production audit high passed: 0 vulnerabilities. PATCH /api/accounts/:id updates alias plus separate trade/login auto-confirm toggles and clamps delay to 0-60s.","","No code fix required","Passed automated retest",""
